Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-VPC7","IndicLanguageBot/VoicebotVPC/Resource","Suppressed","VPC Flow Logs not required for sample/demo code.","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-COG1","IndicLanguageBot/VoicebotUserPool/Resource","Compliant","N/A","Error","The Cognito user pool does not have a password policy that minimally specify a password length of at least 8 characters, as well as requiring uppercase, numeric, and special characters."
"AwsSolutions-COG2","IndicLanguageBot/VoicebotUserPool/Resource","Suppressed","MFA not required for sample/demo code. Users are admin-created only.","Warning","The Cognito user pool does not require MFA."
"AwsSolutions-COG3","IndicLanguageBot/VoicebotUserPool/Resource","Suppressed","Advanced security mode not required for sample code.","Error","The Cognito user pool does not have AdvancedSecurityMode set to ENFORCED."
"AwsSolutions-COG7","IndicLanguageBot/VoicebotIdentityPool","Compliant","N/A","Error","The Cognito identity pool allows for unauthenticated logins and does not have a cdk-nag rule suppression with a reason."
"AwsSolutions-IAM4","IndicLanguageBot/VoicebotAuthenticatedRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotAuthenticatedRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS4","IndicLanguageBot/VoicebotCluster/Resource","Suppressed","Container insights not required for sample code.","Error","The ECS Cluster has CloudWatch Container Insights disabled."
"AwsSolutions-IAM4","IndicLanguageBot/VoicebotTaskDef/TaskRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/TaskRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/TaskRole/DefaultPolicy/Resource","Suppressed","Transcribe and Polly do not support resource-level permissions (resources:* required). Bedrock foundation-model/* wildcards needed for model flexibility within scoped regions. CloudWatch Logs scoped to specific log group. Secrets Manager grant generated by CDK.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/TaskRole/DefaultPolicy/Resource","Suppressed","Transcribe and Polly do not support resource-level permissions (resources:* required). Bedrock foundation-model/* wildcards needed for model flexibility within scoped regions. CloudWatch Logs scoped to specific log group. Secrets Manager grant generated by CDK.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/TaskRole/DefaultPolicy/Resource","Suppressed","Transcribe and Polly do not support resource-level permissions (resources:* required). Bedrock foundation-model/* wildcards needed for model flexibility within scoped regions. CloudWatch Logs scoped to specific log group. Secrets Manager grant generated by CDK.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/TaskRole/DefaultPolicy/Resource","Suppressed","Transcribe and Polly do not support resource-level permissions (resources:* required). Bedrock foundation-model/* wildcards needed for model flexibility within scoped regions. CloudWatch Logs scoped to specific log group. Secrets Manager grant generated by CDK.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-ECS2","IndicLanguageBot/VoicebotTaskDef/Resource","Suppressed","Only safe environment variables are listed; no secrets in plain text.","Error","The ECS Task Definition includes a container definition that directly specifies environment variables."
"AwsSolutions-ECS7","IndicLanguageBot/VoicebotTaskDef/Resource","Compliant","N/A","Error","One or more containers in the ECS Task Definition do not have container logging enabled."
"AwsSolutions-IAM4","IndicLanguageBot/VoicebotTaskDef/ExecutionRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/ExecutionRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/VoicebotTaskDef/ExecutionRole/DefaultPolicy/Resource","Suppressed","Wildcard postfixes generated by CDK for ECR image pull and log operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-EC23","IndicLanguageBot/VoicebotServiceSG/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","IndicLanguageBot/VoicebotServiceSG/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","IndicLanguageBot/VoicebotServiceSG/from IndicLanguageBotVoicebotNLBSG7E3C1ACC:8080","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC23","IndicLanguageBot/VoicebotNLBSG/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","IndicLanguageBot/VoicebotNLBSG/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","IndicLanguageBot/VoicebotNLBSG/from pl-9aa247f3:80","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-ELB2","IndicLanguageBot/VoicebotNLB/Resource","Suppressed","Access logging not required for sample code.","Error","The ELB does not have access logs enabled."
"AwsSolutions-S1","IndicLanguageBot/VoicebotFrontendBucket/Resource","Suppressed","S3 access logging not required for sample code.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","IndicLanguageBot/VoicebotFrontendBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","IndicLanguageBot/VoicebotFrontendBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","IndicLanguageBot/VoicebotFrontendBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","IndicLanguageBot/VoicebotFrontendBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-CFR1","IndicLanguageBot/VoicebotDistribution/Resource","Compliant","N/A","Warning","The CloudFront distribution may require Geo restrictions."
"AwsSolutions-CFR2","IndicLanguageBot/VoicebotDistribution/Resource","Suppressed","AWS WAF integration not required for sample/demo code.","Warning","The CloudFront distribution may require integration with AWS WAF."
"AwsSolutions-CFR3","IndicLanguageBot/VoicebotDistribution/Resource","Suppressed","CloudFront access logging not required for sample code.","Error","The CloudFront distribution does not have access logging enabled."
"AwsSolutions-CFR4","IndicLanguageBot/VoicebotDistribution/Resource","Suppressed","Default CloudFront viewer certificate is sufficient for sample code. Already uses TLS 1.2 minimum.","Error","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections."
"AwsSolutions-CFR5","IndicLanguageBot/VoicebotDistribution/Resource","Suppressed","HTTP_ONLY to origin is acceptable for prototypes as NLB is within AWS network. CloudFront terminates TLS at edge for viewer connections.","Error","The CloudFront distributions uses SSLv3 or TLSv1 for communication to the origin."
"AwsSolutions-CFR7","IndicLanguageBot/VoicebotDistribution/Resource","Compliant","N/A","Error","The CloudFront distribution does not use an origin access control with an S3 origin."
"AwsSolutions-IAM4","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWS managed policy used by CDK BucketDeployment custom resource.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard permissions required by CDK BucketDeployment for S3 operations.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","IndicLanguageBot/Custom::CDKBucketDeployment8693BB64968944B69AAFB0CC9EB8756C/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
